dossier,archivo_balance,hoja,fila_excel,materia_prima,kg_ton,pct_100kg
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,9,FOSFATO DIPOTASICO (DKP),258.7,25.87
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,10,SULFATO DE POTASIO,120.6,12.06
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,11,SULFATO DE MAGNESIO ANHIDRO,62.5,6.25
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,12,ACIDO BORICO,1.2,0.12
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,13,SULFATO DE COBALTO,0.1,0.01
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,14,SULFATO DE COBRE,0.8,0.08
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,15,SULFATO DE HIERRO,2.5,0.25
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,16,SULFATO DE MANGANESO,1.7,0.17
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,17,MOLIBDATO DE SODIO,0.13,0.013
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,18,DIÓXIDO SILICIO,3.1,0.31
