DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
06_13-5-27,salida,MAP - PRECISAGRO,100.0,0,1.1,1.1,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0
06_13-5-27,salida,KCL - NUTRICION PLANTAS,450.0,0,0,0,0,0,0,0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
06_13-5-27,salida,SAM - PRECISAGRO,150.0,0,3.15,3.15,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0
06_13-5-27,salida,SILICATO DE MAGNESIO - JULIAN SALDARRIAGA,100.0,0,0,0,0,0,0,0,0,0,3.386,0,0,0,0,0,0,0,3.698,0,0
06_13-5-27,salida,TOTAL,,0.0,13.45,4.25,0.0,0.0,9.2,5.2,27.0,0.0,3.386,3.6,0.0,0.0,0.0,0.0,0.0,0.0,3.698,0.0,0.0
06_17-6-18-2,MF 17-6-18-2-1 X KILO,UREA X KILO,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06_17-6-18-2,MF 17-6-18-2-1 X KILO,DAP GRANULADO X KILO,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06_17-6-18-2,MF 17-6-18-2-1 X KILO,KCL GRANULADO X KILO,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06_17-6-18-2,MF 17-6-18-2-1 X KILO,NUCLEO 4 X KILO,310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06_17-6-18-2,MF 17-6-18-2-1 X KILO,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
