COD;PRODUCTO;CLASE;TIPO;Test;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
84;MF 17-6-18-2-1;PT;G;1;;17;;;;;6;18;2;1;;;;;;;;;;
402;MF 17-6-18-6+EM;PT;G;1;;17;;;;;6;18;6;;;;;;;;;;;
R;MF 17-7-2 / MAX UTEO;PT;G;1;;17;;;;;7;2;;;;;;;;;;;;
401;MF 17-8-11+EM+CO;PT;G;1;;17;;;;;8;11;;;;;;;;;;;;
478;MF 17-4-23+EM;PT;G;1;;17;;;;;4;23;;;;;;;;;;;;
477;MF 17-5-7+EM;PT;G;1;;17;;;;;5;7;;;;;;;;;;;;
83;MF 18-18-18;PT;G;1;;18;;;;;18;18;;;;;;;;;;;;
353;MF 18-8-5-4+EM;PT;G;1;;18;;;;;8;5;4;;;;;;;;;;;
301;MF 19-1-2-1+EM;PT;G;1;;19;;;;;1;2;1;;;;;;;;;;;
304;MF 19-5-9-5+EM;PT;G;1;;19;;;;;5;6;5;;;;;;;;;;;
384;MF 19-1-3 + MEORES;PT;G;1;;19;;;;;1;3;;;;;;;;;;;;
442;MF 19-3-18+EM;PT;G;1;;19;;;;;3;18;;;;;;;;;;;;
284;MF 20-17-18+TCM;PT;G;1;;20;;;;;17;18;;;;;;;;;;;;
529;MF 20-0-30-3S;PT;G;1;;20;;;;;0;30;;;3;;;;;;;;;
519;MF 20-3-15+EM;PT;G;1;;20;;;;;3;15;;;;;;;;;;;;
457;MF 20-6-0-5CA+EM;PT;G;1;;20;;;;;6;0;5;;;;;;;;;;;
631;MF 20-8-10+EM;PT;G;1;;20;;;;;8;10;;;;;;;;;;;;
172;MF 21-1-2+EM;PT;G;1;;21;;;;;1;2;;;;;;;;;;;;
357;MF 21-5-10-6S+EM;PT;G;1;;21;;;;;5;10;;;6;;;;;;;;;
415;MF 21-2-8+EM;PT;G;1;;21;;;;;2;8;;;;;;;;;;;;
316;MF 21-3-8-3Ca+MEORES;PT;G;1;;21;;;;;3;8;3;;;;;;;;;;;
307;MF 21-4-5-3Ca+MEORES;PT;G;1;;21;;;;;4;5;3;;;;;;;;;;;
497;MF 21-5-10+EM;PT;G;1;;21;;;;;5;10;;;;;;;;;;;;
471;MF 21-5-9+EM;PT;G;1;;21;;;;;5;9;;;;;;;;;;;;
632;MF 21-9-9+EM;PT;G;1;;21;;;;;9;9;;;;;;;;;;;;
315;MF 22 3 13 4S+MEORES;PT;G;1;;21;;;;;3;13;;;4;;;;;;;;;
524;MF 22-0-25-3S;PT;G;1;;22;;;;;0;25;;;3;;;;;;;;;
526;MF 22-0-3+EM;PT;G;1;;22;;;;;0;3;;;;;;;;;;;;
511;MF 22-4-8+EM;PT;G;1;;22;;;;;4;8;;;;;;;;;;;;
525;MF 22-5-13+EM;PT;G;1;;22;;;;;5;13;;;;;;;;;;;;
456;MF 22-6-3+EM;PT;G;1;;22;;;;;6;3;;;;;;;;;;;;
398;MF 22-6-7Ca+EM;PT;G;1;;22;;;;;6;0;7;;;;;;;;;;;
633;MF 22-6-7+EM;PT;G;1;;22;;;;;6;7;;;;;;;;;;;;
634;MF 22-9-9+EM;PT;G;1;;22;;;;;9;9;;;;;;;;;;;;
20;MF 23-3-20;PT;G;1;;23;;;;;3;20;3;;;;;;;;;;;
618;MF 23 6 8 + EM;PT;G;1;;23;;;;;6;8;;;;;;;;;;;;
394;MF 23-3-20+EM;PT;G;1;;23;;;;;3;20;;;;;;;;;;;;
506;MF 23-5-6+EM;PT;G;1;;23;;;;;5;6;;;;;;;;;;;;
508;MF 23-6-8+EM;PT;G;1;;23;;;;;6;8;;;;;;;;;;;;
308;MF 24-0-17+EM;PT;G;1;;24;;;;;0;17;;;;;;;;;;;;
174;MF 24-3-9-3+EM;PT;G;1;;24;;;;;3;9;3;;;;;;;;;;;
348;MF 24-5-7-5S-3Ca+1CO;PT;G;1;1;24;;;;;5;7;3;;5;;;;;;;;;
436;MF 24-0-2+EM;PT;G;1;;24;;;;;0;2;;;;;;;;;;;;
532;MF 24-3-12+EM;PT;G;1;;24;;;;;3;12;;;;;;;;;;;;
440;MF 24-4-11+EM;PT;G;1;;24;;;;;4;11;;;;;;;;;;;;
473;MF 24-5-6+EM;PT;G;1;;24;;;;;5;6;;;;;;;;;;;;
328;MF 25-0-15+EM;PT;G;1;;25;;;;;0;15;;;;;;;;;;;;
146;MF 25-0-17-4S+EM;PT;G;1;;25;;;;;0;17;;;4;;;;;;;;;
148;MF 25-10-18+ MEORES;PT;G;1;;25;;;;;10;18;;;;;;;;;;;;
175;MF 25-10-18+EM;PT;G;1;;25;;;;;10;18;;;;;;;;;;;;
382;MF 25-15-2-3-2;PT;G;1;;25;;;;;15;2;3;2;;;;;;;;;;
82;MF 25-4-24;PT;G;1;;25;;;;;4;24;;;;;;;;;;;;
518;MF 25-17-1+EM;PT;G;1;;25;;;;;17;1;;;;;;;;;;;;
455;MF 25-1-13+EM;PT;G;1;;25;;;;;1;13;;;;;;;;;;;;
509;MF 25-4-11+EM;PT;G;1;;25;;;;;4;11;;;;;;;;;;;;
656;MF 25-4-17+EM;PT;G;1;;25;;;;;4;17;;;;;;;;;;;;
367;MF 25-5-0-8Ca+EM;PT;G;1;;25;;;;;5;0;8;;;;;;;;;;;
533;MF 25-5-12+EM;PT;G;1;;25;;;;;5;12;;;;;;;;;;;;
492;MF 25-7K-2CA+EM;PT;G;1;;25;;;;;7;7;;;;;;;;;;;;
652;MF 25-7-7+EM;PT;G;1;;25;;;;;7;7;;;;;;;;;;;;
648;MF 25-8-14+EM;PT;G;1;;25;;;;;8;14;;;;;;;;;;;;
159;MF 26-0-17+EM;PT;G;1;;26;;;;;0;17;;;;;;;;;;;;
176;MF 26-1-12-+EM;PT;G;1;;26;;;;;1;12;;;;;;;;;;;;
619;MF 26 7 6 + EM;PT;G;1;;26;;;;;7;6;;;;;;;;;;;;
514;MF 26-1-11+EM;PT;G;1;;26;;;;;1;11;;;;;;;;;;;;
512;MF 26-5-11+EM;PT;G;1;;26;;;;;5;11;;;;;;;;;;;;
476;MF 26-9-9+EM;PT;G;1;;26;;;;;9;9;;;;;;;;;;;;
R;MF 27-1-12;PT;G;1;;27;;;;;1;12;;;;;;;;;;;;
136;MF 27-17-0Ca;PT;G;1;;27;;;;;17;;;;;;;;;;;;;
630;MF 27-0-14+EM;PT;G;1;;27;;;;;0;14;;;5;;;;;;;2;;
385;MF 27-15K-5S-2Si-0,80CO;PT;G;1;0.8;27;;;;;0;15;;;;;;;;;;;;
445;MF 27-1-12-2Ca+EM;PT;G;1;;27;;;;;1;12;2;;;;;;;;;;;
475;MF 27-1-7+EM;PT;G;1;;27;;;;;1;7;;;;;;;;;;;;
653;MF 27-1-8+EM;PT;G;1;;27;;;;;1;8;;;;;;;;;;;;
642;MF 27-3-12+EM;PT;G;1;;27;;;;;3;12;;;;;;;;;;;;
536;MF 27-3-3+EM;PT;G;1;;27;;;;;3;3;;;;;;;;;;;;
438;MF 27-4-3+EM;PT;G;1;;27;;;;;4;3;;;;;;;;;;;;
606;MF 27-6-13+EM;PT;G;1;;27;;;;;6;13;;;;;;;;;;;;
480;MF 27-9K-10S+EM;PT;G;1;;27;;;;;6;9;;;10;;;;;;;;;
299;MF 28-0-6-2Ca+EM;PT;G;1;;28;;;;;0;6;2;;;;;;;;;;;
312;MF 28-0-9-2Ca+EM;PT;G;1;;28;;;;;0;9;2;;;;;;;;;;;
165;MF 28-1-12+EM;PT;G;1;;28;;;;;1;12;2;;;;;;;;;;;
303;MF 28-1-6-2Ca+EM;PT;G;1;;28;;;;;1;6;2;;;;;;;;;;;
352;MF 28-1-6-5S-EM+1CO;PT;G;1;1;28;;;;;1;6;;;5;;;;;;;;;
620;MF 28-1-7 +EM;PT;G;1;;28;;;;;1;7;;;;;;;;;;;;
617;MF 28 1 8 + EM;PT;G;1;;28;;;;;1;8;;;;;;;;;;;;
513;MF 28-0-12+EM;PT;G;1;;28;;;;;0;12;;;;;;;;;;;;
537;MF 28-14-10+EM;PT;G;1;;28;;;;;14;10;;;;;;;;;;;;
432;MF 28-1-12+EM;PT;G;1;;28;;;;;1;12;;;;;;;;;;;;
487;MF 28-4-15 +EM;PT;G;1;;28;;;;;4;15;;;;;;;;;;;;
469;MF 28-5-6+EM;PT;G;1;;28;;;;;5;6;;;;;;;;;;;;
527;MF 29-0-16-4S;PT;G;1;;29;;;;;0;16;;;4;;;;;;;;;
522;MF 29-10-10+EM;PT;G;1;;29;;;;;10;10;;;;;;;;;;;;
