idInterno;codigoExterno;producto;tipo;origen;estado;archivo_ficha;score;razon
PT0093;509;MF 25-4-11+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0094;656;MF 25-4-17+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0095;367;MF 25-5-0-8Ca+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0096;533;MF 25-5-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0097;492;MF 25-7K-2CA+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0098;652;MF 25-7-7+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0099;648;MF 25-8-14+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0100;159;MF 26-0-17+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0101;176;MF 26-1-12-+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0102;619;MF 26 7 6 + EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0103;514;MF 26-1-11+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0104;512;MF 26-5-11+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0105;476;MF 26-9-9+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0106;136;MF 27-17-0Ca;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0107;630;MF 27-0-14+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0108;385;MF 27-15K-5S-2Si-0,80CO;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0109;445;MF 27-1-12-2Ca+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0110;475;MF 27-1-7+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0111;653;MF 27-1-8+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0112;642;MF 27-3-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0113;536;MF 27-3-3+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0114;438;MF 27-4-3+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0115;606;MF 27-6-13+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0116;480;MF 27-9K-10S+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0117;299;MF 28-0-6-2Ca+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0118;312;MF 28-0-9-2Ca+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0119;165;MF 28-1-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0120;303;MF 28-1-6-2Ca+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0121;352;MF 28-1-6-5S-EM+1CO;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0122;620;MF 28-1-7 +EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0123;617;MF 28 1 8 + EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0124;513;MF 28-0-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0125;537;MF 28-14-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0126;432;MF 28-1-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0127;487;MF 28-4-15 +EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0128;469;MF 28-5-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0129;527;MF 29-0-16-4S;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0130;522;MF 29-10-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0131;417;MF 29-3-15+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0132;389;MF 3-10-2 + EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0133;163;MF 30-0-20 +EM +TMC;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0134;418;MF 30 0 20;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0135;538;MF 30-11-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0136;493;MF 30-12K-2CA+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0137;298;MF 31-0-20+X;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0138;187;MF 31-0-20+TMC;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0139;81;MF 31-8-8-2;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0140;521;MF 31-6-11+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0141;380;MF 32-0-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0142;327;MF 32-6-5-2SI-1CO;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0143;383;MF 32 1 6 2Ca+ EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0144;665;MF 32-1-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0145;626;MF 33-1-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0146;479;MF 33-5-12;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0147;523;MF 37-0-11;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0148;434;MF 37-2Ca-2Mg+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0149;168;MF 38-0-0-8;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0150;399;MF 38-10K_;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0151;640;MF 3-13-32+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0152;369;MF 40-3-0-2+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0153;292;MF 52K-1,1B-0,5Z;G;csv;FALTA;;0.00;sin coincidencia
PT0154;391;MF 6-9-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0155;356;MF 7-7-5-3S+EM+2CO;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0156;545;MF 7-14-29+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0157;313;MF 8-24-8+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0158;435;MF 8-15-23+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0159;510;MF 8-17-34-1S;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0160;453;MF 8-20-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0161;439;MF 9-12-24+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0162;21;MF-17-6-18-2;G;csv;OK;250718_FT 17-6-18-2.docx;1.00;exacto formula NPK
PT0163;22;MF-23-3-20-4Ca-3Si;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0164;673;MFE 0-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0165;588;MFE 10 11 29;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0166;641;MFE 10-24-14 +EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0167;542;MFE 10-25-8+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0168;589;MFE 10-6-16 +EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0169;668;MFE 10-6-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0170;569;MFE 10-9-18+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0171;544;MFE 11-24-9+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0172;646;MFE 11-25-9+EM;G;csv;OK;FT MFE 11-25-9.docx;1.00;exacto formula NPK
PT0173;660;MFE 11-9-18+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0174;587;MFE 12 25 9;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0175;659;MFE 13-15-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0176;314;MFE 13-26-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0177;489;MFE 13-36-10+EM;G;csv;OK;FT MFE 13-36-10 - copia.docx;1.00;exacto formula NPK
PT0178;601;MFE 13-6-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0179;590;MFE 15-12-20+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0180;623;MFE 15-20-2+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0181;602;MFE 15-21-1+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0182;635;MFE 15-9-20+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0183;658;MFE 16-21-5+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0184;429;MFE 18-18-18+EM;G;csv;OK;250718_FT 18-18-18 - copia.docx;1.00;exacto formula NPK
PT0185;649;MFE 18-2-0+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0186;414;MFE 18-9-29+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0187;674;MFE 19-25-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0188;566;MFE 19-4-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0189;586;MFE 19-4-18;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
