idInterno;codigoExterno;codigoOriginal;producto;clase;tipo;origen;archivado;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
MP0054;323;323;SULFATO ZINC 38;MP;P;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0
MP0055;16;16;ULEXITA;MP;P;csv;;0;0;0;0;0;0;0;0;13;0;0;14;0;0;0;0;0;0;0;0
MZR0001;R;R;MF 10-24-4;MZR;G;csv;;0;10;0;0;0;0;24;4;0;0;0;0;0;0;0;0;0;0;0;0
MZR0002;R;R;MF 17-5-7;MZR;G;csv;;0;17;0;0;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0
MZR0003;R;R;MF 17-7-2 / MAX UTEO;MZR;G;csv;;0;17;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0
MZR0004;R;R;MF 27-1-12;MZR;G;csv;;0;27;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0
MZR0005;R;R;MFE 10-15-20;MZR;G;csv;;0;10;0;0;0;0;15;20;0;0;0;0;0;0;0;0;0;0;0;0
MZR0006;R;R;MFE 10-30-10;MZR;G;csv;;0;10;0;0;0;0;30;10;0;0;0;0;0;0;0;0;0;0;0;0
MZR0007;R;R;MFE 11-10-3;MZR;G;csv;;0;11;0;0;0;0;10;3;0;0;0;0;0;0;0;0;0;0;0;0
MZR0008;R;R;MFE 14-4-23;MZR;G;csv;;0;14;0;0;0;0;4;23;0;0;0;0;0;0;0;0;0;0;0;0
MZR0009;R;R;MFE 16-16-16;MZR;G;csv;;0;16;0;0;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0
MZR0010;R;R;MFE 21-5-1;MZR;G;csv;;0;21;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0
MZR0011;R;R;MFE 22-3-13;MZR;G;csv;;0;22;0;0;0;0;3;13;0;0;0;0;0;0;0;0;0;0;0;0
