folder,clean_folder,csv_id,csv_product,csv_clase,csv_tipo,csv_proveedor,match_type
20_CALFER LLENADO,CALFER LLENADO,999-CALFER LLENADO-CALFERQUIM 1-,CALFER LLENADO,PT,,CALFERQUIM,Exacto
22_CALFER MENORES,CALFER MENORES,999-CALFER MENORES-CALFERQUIM 1-,CALFER MENORES,PT,,CALFERQUIM,Exacto
23_CALFERZINC-P,CALFERZINC-P,150-CALFERZINC P-CALFERQUIM 1-G,CALFERZINC P,PT,G,CALFERQUIM,Exacto
24_FERTIMENORES,FERTIMENORES,161-FERTIMENORES-CALFERQUIM 1-P,FERTIMENORES,PT,P,CALFERQUIM,Exacto
27_FOSFORITA NEIVA,FOSFORITA NEIVA,437-FOSFORITA NEIVA-CALFERQUIM 1-P,FOSFORITA NEIVA,MP,P,CALFERQUIM,Exacto
29_K2K,K2K,300-K2K-CALFERQUIM 1-G,K2K,PT,G,CALFERQUIM,Exacto
30_KIESERITA P,KIESERITA P,74-KIESERITA-MANUCHAR 1-P,KIESERITA,MP,P,MANUCHAR,Parcial
30_KIESERITA P,KIESERITA P,75-KIESERITA- 1-G,KIESERITA,MP,G,,Parcial
31_MAGNE-3,MAGNE-3,154-MAGNE 3-CALFERQUIM 1-G,MAGNE 3,PT,G,CALFERQUIM,Exacto
33_MICRON-C,MICRON-C,164-MICRON C-CALFERQUIM 1-G,MICRON C,PT,G,CALFERQUIM,Exacto
34_MICRON CS,MICRON CS,188-MICRON CS-CALFERQUIM 1-G,MICRON CS,PT,G,CALFERQUIM,Exacto
