DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
06_13-5-27,salida,UREA - NUTRICION PLANTAS,200,0,9.2,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06_13-5-27,salida,MAP - PRECISAGRO,100,0,1.1,1.1,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0
06_13-5-27,salida,KCL - NUTRICION PLANTAS,450,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
06_13-5-27,salida,SAM - PRECISAGRO,150,0,3.15,3.15,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0
06_13-5-27,salida,SILICATO DE MAGNESIO - JULIAN SALDARRIAGA,100,0,0,0,0,0,0,0,0,0,3.386,0,0,0,0,0,0,0,3.698,0,0
06_13-5-27,salida,TOTAL,,0,13.45,4.25,0,0,9.2,5.2,27,0,3.386,3.6,0,0,0,0,0,0,3.698,0,0
13_B-ZINC 15,entrada,BENTONITA,130,0,0,0,0,0,0,0,0.26,0.78,0.52,0,0,0,0,0,0,0,7.41,0,0
13_B-ZINC 15,entrada,KCL ESTÁNDAR,70,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0
13_B-ZINC 15,entrada,OXIDO ZN,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_B-ZINC 15,entrada,SILICATO MG,150,0,0,0,0,0,0,0,0,0,5.079,0,0,0,0,0,0,0,5.547,0,0
13_B-ZINC 15,entrada,SULFATO ZN,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0
13_B-ZINC 15,entrada,ULEXITA,280,0,0,0,0,0,0,0,0,3.64,0,0,3.92,0,0,0,0,0,0,0,0
13_B-ZINC 15,entrada,TOTAL,,0,0,0,0,0,0,0,4.46,4.42,5.599,0,3.92,0,0,0,0,0,12.957,9.45,0
17_CALFERCORRECTIVO,balance materias primas,SULFATO CALCIO - ANIBAL ARANGO,200,0,0,0,0,0,0,0,0,4.4,0,2.6,0,0,0,0,0,0,0,0,0
17_CALFERCORRECTIVO,balance materias primas,CARBONATO CALCIO - AGROCALES,170,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0
17_CALFERCORRECTIVO,balance materias primas,CAL DOLOMITA - BOLIVARIANA MINERALES,100,0,0,0,0,0,0,0,0,3.4,1.4,0,0,0,0,0,0,0,0,0,0
17_CALFERCORRECTIVO,balance materias primas,SILICATO MAGNESIO - JULIAN SALDARRIAGA,350,0,0,0,0,0,0,0,0,0,11.851,0,0,0,0,0,0,0,12.943,0,0
17_CALFERCORRECTIVO,balance materias primas,BENTONITA GRIS - DIDIER HOYOS,180,0,0,0,0,0,0,0,0.36,1.08,0.72,0,0,0,0,0,0,0,10.26,0,0
17_CALFERCORRECTIVO,balance materias primas,TOTAL,,0,0,0,0,0,0,0,0.36,15.68,13.971,2.6,0,0,0,0,0,0,23.203,0,0
18_CAL DESARROLLO,Calfer Desarrollo,UREA,337,0,15.502,0,0,0,15.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,FOSFATO DE AMONIO (MAP),152.5,0,1.6775,1.6775,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE AMONIO (SAM),214.6,0,4.5066,4.5066,0,0,0,0,0,0,0,5.1504,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,NITRATO DE POTASIO (KNO3),232.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO MAGNESIO ANHIDRO,31.3,0,0,0,0,0,0,0,0,0,0.7825,0.626,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,ACIDO BORICO,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE COBALTO,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE COBRE,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE HIERRO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE MANGANESO,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,MOLIBDATO DE SODIO,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,SULFATO DE ZINC,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
18_CAL DESARROLLO,Calfer Desarrollo,E.D.T.A,24.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,DIÓXIDO SILICIO,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_CAL DESARROLLO,Calfer Desarrollo,TOTAL,,0,21.6861,6.1841,0,0,15.502,7.93,0,0,0.7825,5.7764,0,0,0.0176,0,0,0,0,0.021,0
19_CALFER FLORACION,Calfer Floración,FOSFATO DE AMONIO (MAP),398.388048358549,0,4.3823,4.3823,0,0,0,20.7162,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE AMONIO (SAM),97.8970630881074,0,2.0558,2.0558,0,0,0,0,0,0,0,2.3495,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,NITRATO DE POTASIO (KNO3),232.593022209334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO MAGNESIO,66.8979930602082,0,0,0,0,0,0,0,0,0,1.6724,1.338,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,ACIDO BORICO,1.19996400107997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE COBALTO,0.0999970000899973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE COBRE,0.799976000719978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE HIERRO,2.49992500224993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE MANGANESO,1.69994900152995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,MOLIBDATO DE SODIO,0.129996100116997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,SULFATO DE ZINC,0.599982000539984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
19_CALFER FLORACION,Calfer Floración,E.D.T.A,38.798836034919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,DEXTROSA MONOHIDRATADA,151.895443136706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,DIÓXIDO SILICIO,6.49980500584983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_CALFER FLORACION,Calfer Floración,TOTAL,,0,6.4381,6.4381,0,0,0,20.7162,0,0,1.6724,3.6875,0,0,0.0176,0,0,0,0,0.021,0
20_CALFER LLENADO,Calfer llenado,FOSFATO DIPOTASICO (DKP),338.986440542378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,SULFATO DE POTASIO,217.691292348306,0,0,0,0,0,0,0,11.3199,0,0,3.9184,0,0,0,0,0,0,0,0,0
