producto,materia_prima,kg_por_ton,porcentaje
CAL DESARROLLO,FOSFATO DE AMONIO (MAP),152.5,15.25
CAL DESARROLLO,SULFATO DE AMONIO (SAM),214.6,21.46
CAL DESARROLLO,NITRATO DE POTASIO (KNO3),232.6,23.26
CAL DESARROLLO,SULFATO MAGNESIO ANHIDRO,31.3,3.13
CAL DESARROLLO,ACIDO BORICO,1.2,0.12
CAL DESARROLLO,SULFATO DE COBALTO,0.1,0.01
CAL DESARROLLO,SULFATO DE COBRE,0.8,0.08
CAL DESARROLLO,SULFATO DE HIERRO,1.0,0.1
CAL DESARROLLO,SULFATO DE MANGANESO,0.7,0.07
CAL DESARROLLO,MOLIBDATO DE SODIO,0.13,0.013
CAL DESARROLLO,SULFATO DE ZINC,0.6,0.06
CALFER FLORACION,FOSFATO DE AMONIO (MAP),398.4,39.84
CALFER FLORACION,SULFATO DE AMONIO (SAM),97.9,9.79
CALFER FLORACION,NITRATO DE POTASIO (KNO3),232.6,23.26
CALFER FLORACION,SULFATO MAGNESIO,66.9,6.69
CALFER FLORACION,ACIDO BORICO,1.2,0.12
CALFER FLORACION,SULFATO DE COBALTO,0.1,0.01
CALFER FLORACION,SULFATO DE COBRE,0.8,0.08
CALFER FLORACION,SULFATO DE HIERRO,2.5,0.25
CALFER FLORACION,SULFATO DE MANGANESO,1.7,0.17
CALFER FLORACION,MOLIBDATO DE SODIO,0.13,0.013
CALFER FLORACION,SULFATO DE ZINC,0.6,0.06
CALFER LLENADO,FOSFATO DIPOTASICO (DKP),339.0,33.9
CALFER LLENADO,SULFATO DE POTASIO,217.7,21.77
CALFER LLENADO,NITRATO DE POTASIO (KNO3),367.7,36.769999999999996
CALFER LLENADO,SULFATO MAGNESIO ANHIDRO,31.3,3.13
CALFER LLENADO,ACIDO BORICO,1.2,0.12
CALFER LLENADO,SULFATO DE COBALTO,0.1,0.01
CALFER LLENADO,SULFATO DE COBRE,1.6,0.16
CALFER LLENADO,SULFATO DE HIERRO,5.0,0.5
CALFER LLENADO,SULFATO DE MANGANESO,3.3,0.32999999999999996
CALFER LLENADO,MOLIBDATO DE SODIO,0.14,0.014000000000000002
CALFER LLENADO,SULFATO DE ZINC,0.6,0.06
CALFER MENORES,SULFATO MAGNESIO ANHIDRO,281.4,28.14
CALFER MENORES,ACIDO BORICO,57.2,5.72
CALFER MENORES,SULFATO DE COBALTO,0.3,0.03
CALFER MENORES,SULFATO DE COBRE,60.0,6.0
CALFER MENORES,SULFATO DE HIERRO,200.0,20.0
CALFER MENORES,SULFATO DE MANGANESO,129.0,12.9
CALFER MENORES,MOLIBDATO DE SODIO,20.6,2.06
CALFER MENORES,SULFATO DE ZINC,85.8,8.58
CALFERZINC-P,SULFATO DE ZINC 35% X KILO,675.0,67.5
CALFERZINC-P,CARBONATO DE CALCIO X KILO,75.0,7.5
CALFERZINC-P,KIESERITA EN POLVO X KILO,50.0,5.0
CALFERZINC-P,BENTONITA GRIS X KILO,200.0,20.0
FERTIMENORES,CARBONATO DE CALCIO X KILO,100.0,10.0
FERTIMENORES,ULEXITA X KILO,70.0,7.0
FERTIMENORES,SULFATO DE CALCIO X KILO,160.0,16.0
FERTIMENORES,ROCA FOSFORICA 26% X KILO,270.0,27.0
FERTIMENORES,CAL DOLOMITA X KILO,70.0,7.0
FERTIMENORES,SILICATO DE MAGNESIO X KILO,100.0,10.0
FERTIMENORES,BENTONITA GRIS X KILO,100.0,10.0
FERTIMENORES,KIESERITA EN POLVO X KILO,50.0,5.0
FERTIMENORES,VINAZA X KILO,150.0,15.0
FERTIMENORES,SULFATO DE ZINC 35% X KILO,70.0,7.0
FERTIMENORES,SULFATO DE COBRE 22% X KILO,10.0,1.0
K2K,KIESERITA EN POLVO X KILO,50.0,5.0
K2K,SULFATO DE CALCIO X KILO,50.0,5.0
K2K,SULFATO DE POTASIO SOLUBLE X KILO,120.0,12.0
K2K,KCL STANDAR X KILO,400.0,40.0
K2K,ABONO ORGANICO A,200.0,20.0
K2K,VINAZA X KILO,200.0,20.0
K2K,CARBONATO DE CALCIO X KILO,80.0,8.0
K2K,BENTONITA ROJA X KILO,100.0,10.0
MAGNE-3,CAL DOLOMITA,130.0,13.0
MAGNE-3,CLORURO POTASIO (KCL),50.0,5.0
MAGNE-3,KIESERITA,250.0,25.0
