Ext. 1 detalle	Desc. grupo impositivo	Item	Referencia	Desc. item	Grupo impositivo	Tipo inventario	Desc. tipo inventario	Tipo item	Manufactura	Extensión	Maneja lote	U.M. adic.	Asignación lote	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000051	MP0054	BARREDURA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000052	MP0055	BENTONITA CALCICA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000053	MP0056	DAP GRADO TECNICO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000054	MP0057	SULFATO DE ZINC 28% X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000056	MP0079	SILICATO DE MAGNESIO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000057	MP0080	ROCA FOSFORICA 26% X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000058	MP0081	UREA PRILLED X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000059	MP0083	CAOLN CALCINADO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000060	REP177	CISCO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000061	MP0084	TERRAFERTIL X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000062	MP0090	PANTEKALI X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000063	MP0091	NITRORGANIC X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000064	MP0092	BENTONITA GRIS X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000065	MP0093	MIEL DE CASTILLA X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000066	MP0095	BIORGANIK X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000067	MP0097	ABONO ORGANICO X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000068	MP0098	PRODUCTO A	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000069	MP0099	PRODUCTO B	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000070	MP0102	CAL APAGADA X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000071	MP0103	NITRATO DE POTASIO X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000072	MP0104	HYDROXIDO DE CALCIO X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000073	MP0105	SULFATO DE CALCIO SUCROAL	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000074	MP0106	NITRATO DE CALCIO+B X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000075	MP0110	ABONO ORGANICO A	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si y perecedero	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000076	MP0111	ROCA FOSFORICA 30% X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000077	MP0112	SULFATO DE COBRE X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si	    	Manual	
