COD_PADRE,DESC_PRODUCTO,COD_MP,DESC_MP,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
84,MF 17-6-18-2-1 X KILO,,KCL GRANULADO X KILO,280.0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0
84,MF 17-6-18-2-1 X KILO,,NUCLEO 4 X KILO,310.0,0,0,0,0,0,0,0,0,5.58,5.58,1.24,0,0,0,0,0,0,4.34,0,0
84,MF 17-6-18-2-1 X KILO,,TOTAL,,0.0,15.78,1.98,0.0,0.0,13.8,5.06,16.8,5.58,5.58,1.24,0.0,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0
85,MF 15-15-15 X KILO,,UREA X KILO,180.0,0,8.28,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,MF 15-15-15 X KILO,,DAP GRANULADO X KILO,300.0,0,5.4,5.4,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
85,MF 15-15-15 X KILO,,KCL GRANULADO X KILO,230.0,0,0,0,0,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0
85,MF 15-15-15 X KILO,,NUCLEO 4 X KILO,290.0,0,0,0,0,0,0,0,0,5.22,5.22,1.16,0,0,0,0,0,0,4.06,0,0
85,MF 15-15-15 X KILO,,TOTAL,,0.0,13.68,5.4,0.0,0.0,8.28,13.8,13.8,5.22,5.22,1.16,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0
86,MF 10-30-10 X KILO,,DAP GRANULADO X KILO,600.0,0,10.8,10.8,0,0,0,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0
86,MF 10-30-10 X KILO,,KCL GRANULADO X KILO,150.0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0
86,MF 10-30-10 X KILO,,NUCLEO 4 X KILO,250.0,0,0,0,0,0,0,0,0,4.5,4.5,1.0,0,0,0,0,0,0,3.5,0,0
86,MF 10-30-10 X KILO,,TOTAL,,0.0,10.8,10.8,0.0,0.0,0.0,27.6,9.0,4.5,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0
123,BORO GRANULADO SN X KILO,,ULEXITA X KILO,850.0,0,0,0,0,0,0,0,0,11.05,0,0,11.9,0,0,0,0,0,0,0,0
123,BORO GRANULADO SN X KILO,,CARBONATO DE CALCIO X KILO,50.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
123,BORO GRANULADO SN X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
123,BORO GRANULADO SN X KILO,,SILICATO DE MAGNESIO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.693,0,0,0,0,0,0,0,1.849,0,0
123,BORO GRANULADO SN X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.05,2.943,1.0,11.9,0.0,0.0,0.0,0.0,0.0,1.849,0.0,0.0
140,NUCLEO FERCON X KILO,,NUCLEO 4 X KILO,980.0,0,0,0,0,0,0,0,0,17.64,17.64,3.92,0,0,0,0,0,0,13.72,0,0
140,NUCLEO FERCON X KILO,,CALFERZINC-P SN X KILO,20.0,0,0,0,0,0,0,0,0.06,0,0,0.14,0,0,0,0,0,0,0,0.44,0
140,NUCLEO FERCON X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,17.64,17.64,4.06,0.0,0.0,0.0,0.0,0.0,0.0,13.72,0.44,0.0
141,FORMULACION ESPECIAL SULFATO DE CALCIO P,,SULFATO DE CALCIO X KILO,750.0,0,0,0,0,0,0,0,0,16.5,0,9.75,0,0,0,0,0,0,0,0,0
141,FORMULACION ESPECIAL SULFATO DE CALCIO P,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
141,FORMULACION ESPECIAL SULFATO DE CALCIO P,,CARBONATO DE CALCIO X KILO,150.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0
141,FORMULACION ESPECIAL SULFATO DE CALCIO P,,BENTONITA GRIS X KILO,50.0,0,0,0,0,0,0,0,0.1,0.3,0.2,0,0,0,0,0,0,0,2.85,0,0
141,FORMULACION ESPECIAL SULFATO DE CALCIO P,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,22.8,1.45,10.75,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0
150,CALFERZINC-P SN X KILO,,SULFATO DE ZINC 35% X KILO,675.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.625,0
150,CALFERZINC-P SN X KILO,,CARBONATO DE CALCIO X KILO,75.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0
150,CALFERZINC-P SN X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
150,CALFERZINC-P SN X KILO,,BENTONITA GRIS X KILO,200.0,0,0,0,0,0,0,0,0.4,1.2,0.8,0,0,0,0,0,0,0,11.4,0,0
150,CALFERZINC-P SN X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.2,2.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,23.625,0.0
154,FE MAGNE 3 SN X KILO,,CARBONATO DE CALCIO X KILO,50.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
154,FE MAGNE 3 SN X KILO,,OXIDO DE MAGNESIO X KILO,100.0,0,0,0,0,0,0,0,0,0.3,9.0,0,0,0,0,0,0,0,0.5,0,0
154,FE MAGNE 3 SN X KILO,,KCL STANDAR X KILO,50.0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
154,FE MAGNE 3 SN X KILO,,SULFATO DE CALCIO X KILO,150.0,0,0,0,0,0,0,0,0,3.3,0,1.95,0,0,0,0,0,0,0,0,0
154,FE MAGNE 3 SN X KILO,,BENTONITA GRIS X KILO,50.0,0,0,0,0,0,0,0,0.1,0.3,0.2,0,0,0,0,0,0,0,2.85,0,0
154,FE MAGNE 3 SN X KILO,,SILICATO DE MAGNESIO X KILO,400.0,0,0,0,0,0,0,0,0,0,13.544,0,0,0,0,0,0,0,14.792,0,0
154,FE MAGNE 3 SN X KILO,,KIESERITA EN POLVO X KILO,200.0,0,0,0,0,0,0,0,0,0,5.0,4.0,0,0,0,0,0,0,0,0,0
154,FE MAGNE 3 SN X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.9,27.744,5.95,0.0,0.0,0.0,0.0,0.0,0.0,18.142,0.0,0.0
155,RAIFOS 20 SN X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
155,RAIFOS 20 SN X KILO,,MAP TECNICO X KILO,50.0,0,0.6,0.6,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0
155,RAIFOS 20 SN X KILO,,ROCA FOSFORICA 26% X KILO,650.0,0,0,0,0,0,0,16.9,0,23.4,0,0,0,0,0,0,0,0,0,0,0
155,RAIFOS 20 SN X KILO,,SILICATO DE MAGNESIO X KILO,90.0,0,0,0,0,0,0,0,0,0,3.0474,0,0,0,0,0,0,0,3.3282,0,0
155,RAIFOS 20 SN X KILO,,LEONARDITA X KILO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,RAIFOS 20 SN X KILO,,ABONO ORGANICO A,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,RAIFOS 20 SN X KILO,,TOTAL,,0.0,0.6,0.6,0.0,0.0,0.0,19.5,0.0,23.4,4.2974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3282,0.0,0.0
161,FERTIMENORES SN X KILO,,CARBONATO DE CALCIO X KILO,100.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES SN X KILO,,ULEXITA X KILO,70.0,0,0,0,0,0,0,0,0,0.91,0,0,0.98,0,0,0,0,0,0,0,0
161,FERTIMENORES SN X KILO,,SULFATO DE CALCIO X KILO,160.0,0,0,0,0,0,0,0,0,3.52,0,2.08,0,0,0,0,0,0,0,0,0
161,FERTIMENORES SN X KILO,,ROCA FOSFORICA 26% X KILO,270.0,0,0,0,0,0,0,7.02,0,9.72,0,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES SN X KILO,,CAL DOLOMITA X KILO,70.0,0,0,0,0,0,0,0,0,2.38,0.98,0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES SN X KILO,,SILICATO DE MAGNESIO X KILO,100.0,0,0,0,0,0,0,0,0,0,3.386,0,0,0,0,0,0,0,3.698,0,0
161,FERTIMENORES SN X KILO,,BENTONITA GRIS X KILO,100.0,0,0,0,0,0,0,0,0.2,0.6,0.4,0,0,0,0,0,0,0,5.7,0,0
161,FERTIMENORES SN X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
161,FERTIMENORES SN X KILO,,SULFATO DE ZINC 35% X KILO,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0
161,FERTIMENORES SN X KILO,,SULFATO DE COBRE 22% X KILO,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0
161,FERTIMENORES SN X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,7.02,0.2,21.13,6.016,3.08,0.98,0.0,0.22,0.0,0.0,0.0,9.398,2.45,0.0
213,FORMULACION ESPECIAL SULFATO DE CALCIO Z,,SULFATO DE CALCIO X KILO,1000.0,0,0,0,0,0,0,0,0,22.0,0,13.0,0,0,0,0,0,0,0,0,0
213,FORMULACION ESPECIAL SULFATO DE CALCIO Z,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,K2K SN X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
300,K2K SN X KILO,,SULFATO DE CALCIO X KILO,50.0,0,0,0,0,0,0,0,0,1.1,0,0.65,0,0,0,0,0,0,0,0,0
300,K2K SN X KILO,,SULFATO DE POTASIO SOLUBLE X KILO,120.0,0,0,0,0,0,0,0,6.24,0,0,2.16,0,0,0,0,0,0,0,0,0
300,K2K SN X KILO,,KCL STANDAR X KILO,400.0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0
300,K2K SN X KILO,,ABONO ORGANICO A,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,K2K SN X KILO,,CARBONATO DE CALCIO X KILO,80.0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0
300,K2K SN X KILO,,BENTONITA ROJA X KILO,100.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4.7,0,0
300,K2K SN X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.24,4.3,1.35,3.81,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0
302,NUCLEO HIERRO X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
302,NUCLEO HIERRO X KILO,,CARBONATO DE CALCIO X KILO,100.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0
302,NUCLEO HIERRO X KILO,,SILICATO DE HIERRO X KILO,750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,NUCLEO HIERRO X KILO,,BENTONITA ROJA X KILO,100.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4.7,0,0
302,NUCLEO HIERRO X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0
311,CALFERCORRECTIVO X KILO,,ROCA FOSFORICA 26% X KILO,150.0,0,0,0,0,0,0,3.9,0,5.4,0,0,0,0,0,0,0,0,0,0,0
311,CALFERCORRECTIVO X KILO,,CAL DOLOMITA X KILO,100.0,0,0,0,0,0,0,0,0,3.4,1.4,0,0,0,0,0,0,0,0,0,0
311,CALFERCORRECTIVO X KILO,,CARBONATO DE CALCIO X KILO,100.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0
311,CALFERCORRECTIVO X KILO,,SULFATO DE CALCIO X KILO,200.0,0,0,0,0,0,0,0,0,4.4,0,2.6,0,0,0,0,0,0,0,0,0
311,CALFERCORRECTIVO X KILO,,SILICATO DE MAGNESIO X KILO,350.0,0,0,0,0,0,0,0,0,0,11.851,0,0,0,0,0,0,0,12.943,0,0
311,CALFERCORRECTIVO X KILO,,BENTONITA GRIS X KILO,100.0,0,0,0,0,0,0,0,0.2,0.6,0.4,0,0,0,0,0,0,0,5.7,0,0
311,CALFERCORRECTIVO X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.2,17.8,13.651,2.6,0.0,0.0,0.0,0.0,0.0,0.0,18.643,0.0,0.0
393,BIOPLANTAS X KILO,,BIOCANECON X KILO,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,BIOPLANTAS X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,FOSFORO ESPECIAL,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
410,FOSFORO ESPECIAL,,CAOLIN GRIS X KILO,100.0,0,0,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0.05,0,0,4.7,0,0
410,FOSFORO ESPECIAL,,ROCA FOSFORICA 26% X KILO,800.0,0,0,0,0,0,0,20.8,0,28.8,0,0,0,0,0,0,0,0,0,0,0
410,FOSFORO ESPECIAL,,BIOCANECON X KILO,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,FOSFORO ESPECIAL,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,28.85,1.27,1.0,0.0,0.0,0.0,0.05,0.0,0.0,4.7,0.0,0.0
452,NUCLEO CAMASI ROJO X KILO,,BENTONITA ROJA X KILO,600.0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,28.2,0,0
452,NUCLEO CAMASI ROJO X KILO,,CARBONATO DE CALCIO X KILO,350.0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0
452,NUCLEO CAMASI ROJO X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
452,NUCLEO CAMASI ROJO X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0
558,NUCLEO MAGNESIO-SILICIO X KILO,,SILICATO DE MAGNESIO X KILO,900.0,0,0,0,0,0,0,0,0,0,30.474,0,0,0,0,0,0,0,33.282,0,0
558,NUCLEO MAGNESIO-SILICIO X KILO,,BENTONITA ROJA X KILO,50.0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,2.35,0,0
558,NUCLEO MAGNESIO-SILICIO X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
558,NUCLEO MAGNESIO-SILICIO X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.632,0.0,0.0
563,NUCLEO CAMASI YARA SN,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
563,NUCLEO CAMASI YARA SN,,SILICATO DE MAGNESIO X KILO,100.0,0,0,0,0,0,0,0,0,0,3.386,0,0,0,0,0,0,0,3.698,0,0
563,NUCLEO CAMASI YARA SN,,CARBONATO DE CALCIO X KILO,600.0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0
563,NUCLEO CAMASI YARA SN,,BENTONITA GRIS X KILO,250.0,0,0,0,0,0,0,0,0.5,1.5,1.0,0,0,0,0,0,0,0,14.25,0,0
563,NUCLEO CAMASI YARA SN,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,25.5,5.636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.948,0.0,0.0
574,NUCLEO FOSFORO 1 X KILO,,ROCA FOSFORICA 26% X KILO,750.0,0,0,0,0,0,0,19.5,0,27.0,0,0,0,0,0,0,0,0,0,0,0
574,NUCLEO FOSFORO 1 X KILO,,BENTONITA ROJA X KILO,100.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4.7,0,0
574,NUCLEO FOSFORO 1 X KILO,,CAL DOLOMITA X KILO,50.0,0,0,0,0,0,0,0,0,1.7,0.7,0,0,0,0,0,0,0,0,0,0
574,NUCLEO FOSFORO 1 X KILO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
574,NUCLEO FOSFORO 1 X KILO,,SILICATO DE MAGNESIO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.693,0,0,0,0,0,0,0,1.849,0,0
574,NUCLEO FOSFORO 1 X KILO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,28.7,3.743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.549,0.0,0.0
679,NUCLEO FOSFORO 10,,KIESERITA GRA X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
679,NUCLEO FOSFORO 10,,BENTONITA GRIS X KILO,50.0,0,0,0,0,0,0,0,0.1,0.3,0.2,0,0,0,0,0,0,0,2.85,0,0
679,NUCLEO FOSFORO 10,,CARBONATO DE CALCIO X KILO,150.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0
679,NUCLEO FOSFORO 10,,SULFATO DE CALCIO X KILO,300.0,0,0,0,0,0,0,0,0,6.6,0,3.9,0,0,0,0,0,0,0,0,0
679,NUCLEO FOSFORO 10,,ROCA FOSFORICA 26% X KILO,450.0,0,0,0,0,0,0,11.7,0,16.2,0,0,0,0,0,0,0,0,0,0,0
679,NUCLEO FOSFORO 10,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.1,29.1,1.45,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0
680,FORMULACION ESPECIAL SUELO CA POLVO,,SILICATO DE MAGNESIO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.693,0,0,0,0,0,0,0,1.849,0,0
680,FORMULACION ESPECIAL SUELO CA POLVO,,ULEXITA X KILO,25.0,0,0,0,0,0,0,0,0,0.325,0,0,0.35,0,0,0,0,0,0,0,0
680,FORMULACION ESPECIAL SUELO CA POLVO,,CAL DOLOMITA X KILO,550.0,0,0,0,0,0,0,0,0,18.7,7.7,0,0,0,0,0,0,0,0,0,0
680,FORMULACION ESPECIAL SUELO CA POLVO,,SULFATO DE CALCIO X KILO,200.0,0,0,0,0,0,0,0,0,4.4,0,2.6,0,0,0,0,0,0,0,0,0
680,FORMULACION ESPECIAL SUELO CA POLVO,,BENTONITA ROJA X KILO,50.0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,2.35,0,0
680,FORMULACION ESPECIAL SUELO CA POLVO,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
680,FORMULACION ESPECIAL SUELO CA POLVO,,KCL STANDAR X KILO,40.0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0
680,FORMULACION ESPECIAL SUELO CA POLVO,,CARBONATO DE CALCIO X KILO,35.0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0
680,FORMULACION ESPECIAL SUELO CA POLVO,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,24.825,10.693,3.6,0.35,0.0,0.0,0.0,0.0,0.0,4.199,0.0,0.0
803,NUCLEO MAGNESIO-S,,SULFATO DE CALCIO X KILO,440.0,0,0,0,0,0,0,0,0,9.68,0,5.72,0,0,0,0,0,0,0,0,0
803,NUCLEO MAGNESIO-S,,KIESERITA EN POLVO X KILO,180.0,0,0,0,0,0,0,0,0,0,4.5,3.6,0,0,0,0,0,0,0,0,0
803,NUCLEO MAGNESIO-S,,BENTONITA ROJA X KILO,70.0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,3.29,0,0
803,NUCLEO MAGNESIO-S,,SILICATO DE MAGNESIO X KILO,310.0,0,0,0,0,0,0,0,0,0,10.4966,0,0,0,0,0,0,0,11.4638,0,0
803,NUCLEO MAGNESIO-S,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,15.0666,9.32,0.0,0.0,0.0,0.0,0.0,0.0,14.7538,0.0,0.0
997,SULFATO DE ZINC 22% SN,,SULFATO DE ZINC 35% X KILO,675.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.625,0
997,SULFATO DE ZINC 22% SN,,CARBONATO DE CALCIO X KILO,75.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0
997,SULFATO DE ZINC 22% SN,,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,1.25,1.0,0,0,0,0,0,0,0,0,0
997,SULFATO DE ZINC 22% SN,,BENTONITA GRIS X KILO,200.0,0,0,0,0,0,0,0,0.4,1.2,0.8,0,0,0,0,0,0,0,11.4,0,0
997,SULFATO DE ZINC 22% SN,,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.2,2.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,23.625,0.0
